path,type,name,base_name,extension,size,date,sha1,md5,sha256,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,detected_license_expression,detected_license_expression_spdx,percentage_of_license_text,files_count,dirs_count,size_count,scan_errors,license_expression,detection_log,license_match__license_expression,license_match__license_expression_spdx,license_match__from_file,license_match__matcher,license_match__score,license_match__matched_length,license_match__match_coverage,license_match__rule_relevance,license_match__rule_identifier,license_match__rule_url,copyright,holder,author,email,url,start_line,end_line,package__type,package__namespace,package__name,package__version,package__qualifiers,package__subpath,package__primary_language,package__description,package__release_date,package__homepage_url,package__download_url,package__size,package__sha1,package__md5,package__sha256,package__sha512,package__bug_tracking_url,package__code_view_url,package__vcs_url,package__copyright,package__holder,package__declared_license_expression,package__declared_license_expression_spdx,package__license_detections,package__other_license_expression,package__other_license_expression_spdx,package__other_license_detections,package__extracted_license_statement,package__notice_text,package__file_references,package__is_private,package__is_virtual,package__extra_data,package__repository_homepage_url,package__repository_download_url,package__api_data_url,package__datasource_id,package__purl
spring-petclinic/,directory,spring-petclinic,spring-petclinic,,0,,,,,,,,False,False,False,False,False,False,,,0,123,52,1927660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/.editorconfig,file,.editorconfig,.editorconfig,,344,2025-04-15,a24a52832c325cd3378711977b0b40ef3d4929a3,7492f70369598e59fe11d843892b1872,a9a457ecb098f2f27c2b76bd6a7b0eeb5575aaf3939c125af3500c347754809d,text/plain,ASCII text,,False,True,False,False,False,False,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/.gitpod.yml,file,.gitpod.yml,.gitpod,.yml,287,2025-04-15,43f2f3c77fc8fb4ee40e1dd7d3598d4e2221b0fb,d4b8d81b3e144ad5cee413469b6a2284,692845ab44f63292899862498c3a52df9cb7c1b8fea6f31cb75814227e98d0b1,text/plain,ASCII text,,False,True,False,False,False,False,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/build.gradle,file,build.gradle,build,.gradle,3261,2025-04-15,a96e57078dce1b9d14e96989d7d3fa6e761f7fee,b091ff827080ed759813eb3d357f004f,56142c8d970ad6fd291d587abc53cbc727ab38408db5c761ad456292cdac62e0,text/plain,ASCII text,Groovy,False,True,False,False,True,False,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/build.gradle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/spring-projects/spring-framework/pull/33949,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/build.gradle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maven,,,,,,,,,,,,,,,,,,,,,apache-2.0,Apache-2.0,"[{'license_expression': 'apache-2.0', 'license_expression_spdx': 'Apache-2.0', 'matches': [{'license_expression': 'apache-2.0', 'license_expression_spdx': 'Apache-2.0', 'from_file': 'spring-petclinic/LICENSE.txt', 'start_line': 2, 'end_line': 202, 'matcher': '1-hash', 'score': 100.0, 'matched_length': 1584, 'match_coverage': 100.0, 'rule_relevance': 100, 'rule_identifier': 'apache-2.0_255.RULE', 'rule_url': 'https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/apache-2.0_255.RULE'}], 'identifier': 'apache_2_0-b54d1ef7-0765-1d98-075a-d34f90ebae28'}, {'license_expression': 'apache-2.0', 'license_expression_spdx': 'Apache-2.0', 'matches': [{'license_expression': 'apache-2.0', 'license_expression_spdx': 'Apache-2.0', 'from_file': 'spring-petclinic/README.md', 'start_line': 165, 'end_line': 165, 'matcher': '2-aho', 'score': 100.0, 'matched_length': 8, 'match_coverage': 100.0, 'rule_relevance': 100, 'rule_identifier': 'apache-2.0_669.RULE', 'rule_url': 'https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/apache-2.0_669.RULE'}, {'license_expression': 'apache-2.0', 'license_expression_spdx': 'Apache-2.0', 'from_file': 'spring-petclinic/README.md', 'start_line': 165, 'end_line': 165, 'matcher': '2-aho', 'score': 100.0, 'matched_length': 10, 'match_coverage': 100.0, 'rule_relevance': 100, 'rule_identifier': 'apache-2.0_854.RULE', 'rule_url': 'https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/apache-2.0_854.RULE'}], 'identifier': 'apache_2_0-45693567-b924-4dc5-931f-760afb1ca4fd'}]",,,,,,,,,,,,,build_gradle,
spring-petclinic/docker-compose.yml,file,docker-compose.yml,docker-compose,.yml,488,2025-04-15,de1cfd7e9307cf3ef113776519e6330ccb4da9b1,a4dbc3b5cc1cd18d732aacc793db4aee,d1805415f598db133967eff81c0fee114bd98d174a383337f0dff97bb6a1feb5,text/plain,ASCII text,,False,True,False,False,False,False,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/gradlew,file,gradlew,gradlew,,8762,2025-04-15,8354dd64ce8112f42852288ed83e22d0b26a3e4c,f092910dfa8e47c5a37a452c3f6baf8a,a3648413b47ef77af21d5ebc36c687c7d103aaef3e17f33de7d4f080a6f300a3,text/x-shellscript,"POSIX shell script, UTF-8 Unicode text executable",Bash,False,True,False,False,True,True,apache-2.0,Apache-2.0,7.9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/gradlew,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,,apache-2.0,Apache-2.0,spring-petclinic/gradlew,2-aho,100.00,85,100.00,100.00,apache-2.0_459.RULE,https://github.com/nexB/scancode-toolkit/tree/develop/src/licensedcode/data/rules/apache-2.0_459.RULE,,,,,,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring-petclinic/gradlew,,,,,,,,,,,,,,,,,,,,,,,,,,apache-2.0,,apache-2.0,Apache-2.0,spring-petclinic/gradlew,1-spdx-id,100.00,6,100.00,100.00,spdx-license-identifier-apache_2_0-5dcda840588b4f07f49f2c0100924ebca7bc0649,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
